year,report_id,habitat_type,region,sample_date,taxa,value
2019,BSC1,Canal channel,Butte Sink,1/7/2019,Aquatic insect,127.3239545
2019,BSC1,Canal channel,Butte Sink,1/7/2019,Copepoda,650.7668784
2019,BSC1,Canal channel,Butte Sink,1/7/2019,Large cladocera,756.8701738
2019,BSC1,Canal channel,Butte Sink,1/7/2019,Ostracoda,7.073553026
2019,BSC1,Canal channel,Butte Sink,1/7/2019,Rare,183.9123787
2019,BSC1,Canal channel,Butte Sink,1/7/2019,Rotifera,113.1768484
2019,BSC1,Canal channel,Butte Sink,1/7/2019,Small cladocera,353.6776513
2019,BSC1,Canal channel,Butte Sink,1/7/2019,Terrestrial insect,28.29421211
2019,FRC1,River channel,Feather River,1/7/2019,Aquatic insect,16.97652726
2019,FRC1,River channel,Feather River,1/7/2019,Copepoda,26.1721462
2019,FRC1,River channel,Feather River,1/7/2019,Large cladocera,3.536776513
2019,FRC1,River channel,Feather River,1/7/2019,Ostracoda,1.414710605
2019,FRC1,River channel,Feather River,1/7/2019,Rare,6.366197724
2019,FRC1,River channel,Feather River,1/7/2019,Rotifera,0.707355303
2019,FRC1,River channel,Feather River,1/7/2019,Small cladocera,23.34272499
2019,FRC1,River channel,Feather River,1/7/2019,Terrestrial insect,4.244131816
2019,LBA2,Agriculture,Lower Bypass,1/7/2019,Aquatic insect,3.536776513
2019,LBA2,Agriculture,Lower Bypass,1/7/2019,Copepoda,385.5086399
2019,LBA2,Agriculture,Lower Bypass,1/7/2019,Large cladocera,56.58842421
2019,LBA2,Agriculture,Lower Bypass,1/7/2019,Rare,14.14710605
2019,LBA2,Agriculture,Lower Bypass,1/7/2019,Rotifera,60.12520072
2019,LBA2,Agriculture,Lower Bypass,1/7/2019,Small cladocera,495.1487118
2019,LBA2,Agriculture,Lower Bypass,1/7/2019,Terrestrial insect,7.073553026
2019,SRC2,River channel,Sacramento River,1/7/2019,Aquatic insect,2.122065908
2019,SRC2,River channel,Sacramento River,1/7/2019,Copepoda,103.2738742
2019,SRC2,River channel,Sacramento River,1/7/2019,Large cladocera,58.71049012
2019,SRC2,River channel,Sacramento River,1/7/2019,Rare,1.414710605
2019,SRC2,River channel,Sacramento River,1/7/2019,Rotifera,3.536776513
2019,SRC2,River channel,Sacramento River,1/7/2019,Small cladocera,159.1549431
2019,SRC2,River channel,Sacramento River,1/7/2019,Terrestrial insect,0.707355303
2019,SRC4,River channel,Sacramento River,1/7/2019,Aquatic insect,2.829421211
2019,SRC4,River channel,Sacramento River,1/7/2019,Copepoda,92.30986699
2019,SRC4,River channel,Sacramento River,1/7/2019,Large cladocera,36.07512043
2019,SRC4,River channel,Sacramento River,1/7/2019,Ostracoda,1.414710605
2019,SRC4,River channel,Sacramento River,1/7/2019,Rare,7.780908329
2019,SRC4,River channel,Sacramento River,1/7/2019,Rotifera,4.951487118
2019,SRC4,River channel,Sacramento River,1/7/2019,Small cladocera,84.88263632
2019,SRC4,River channel,Sacramento River,1/7/2019,Terrestrial insect,1.414710605
2019,UBC1,Canal channel,Upper Bypass,1/7/2019,Copepoda,686.1346436
2019,UBC1,Canal channel,Upper Bypass,1/7/2019,Large cladocera,721.5024087
2019,UBC1,Canal channel,Upper Bypass,1/7/2019,Ostracoda,14.14710605
2019,UBC1,Canal channel,Upper Bypass,1/7/2019,Rare,21.22065908
2019,UBC1,Canal channel,Upper Bypass,1/7/2019,Rotifera,28.29421211
2019,UBC1,Canal channel,Upper Bypass,1/7/2019,Small cladocera,2475.743559
2019,UBW1,Wetland,Upper Bypass,1/7/2019,Aquatic insect,42.44131816
2019,UBW1,Wetland,Upper Bypass,1/7/2019,Copepoda,643.6933254
2019,UBW1,Wetland,Upper Bypass,1/7/2019,Large cladocera,389.0454164
2019,UBW1,Wetland,Upper Bypass,1/7/2019,Ostracoda,28.29421211
2019,UBW1,Wetland,Upper Bypass,1/7/2019,Rare,28.29421211
2019,UBW1,Wetland,Upper Bypass,1/7/2019,Rotifera,141.4710605
2019,UBW1,Wetland,Upper Bypass,1/7/2019,Small cladocera,1322.754416
2019,BSC1,Canal channel,Butte Sink,1/14/2019,Aquatic insect,17.68388257
2019,BSC1,Canal channel,Butte Sink,1/14/2019,Copepoda,2970.892271
2019,BSC1,Canal channel,Butte Sink,1/14/2019,Large cladocera,1273.239545
2019,BSC1,Canal channel,Butte Sink,1/14/2019,Rotifera,618.9358898
2019,BSC1,Canal channel,Butte Sink,1/14/2019,Small cladocera,1184.820132
2019,FRC1,River channel,Feather River,1/14/2019,Aquatic insect,7.780908329
2019,FRC1,River channel,Feather River,1/14/2019,Copepoda,168.350562
2019,FRC1,River channel,Feather River,1/14/2019,Large cladocera,16.26917196
2019,FRC1,River channel,Feather River,1/14/2019,Rare,3.536776513
2019,FRC1,River channel,Feather River,1/14/2019,Rotifera,21.22065908
2019,FRC1,River channel,Feather River,1/14/2019,Small cladocera,41.02660755
2019,FRC1,River channel,Feather River,1/14/2019,Terrestrial insect,1.414710605
2019,LBA2,Agriculture,Lower Bypass,1/14/2019,Aquatic insect,9.645754127
2019,LBA2,Agriculture,Lower Bypass,1/14/2019,Copepoda,511.2249687
2019,LBA2,Agriculture,Lower Bypass,1/14/2019,Large cladocera,173.6235743
2019,LBA2,Agriculture,Lower Bypass,1/14/2019,Ostracoda,22.50675963
2019,LBA2,Agriculture,Lower Bypass,1/14/2019,Rare,25.722011
2019,LBA2,Agriculture,Lower Bypass,1/14/2019,Rotifera,340.8166458
2019,LBA2,Agriculture,Lower Bypass,1/14/2019,Small cladocera,363.3234054
2019,SRC2,River channel,Sacramento River,1/14/2019,Aquatic insect,18.61461323
2019,SRC2,River channel,Sacramento River,1/14/2019,Copepoda,234.5441267
2019,SRC2,River channel,Sacramento River,1/14/2019,Large cladocera,53.98237836
2019,SRC2,River channel,Sacramento River,1/14/2019,Rare,9.307306614
2019,SRC2,River channel,Sacramento River,1/14/2019,Rotifera,33.50630381
2019,SRC2,River channel,Sacramento River,1/14/2019,Small cladocera,141.4710605
2019,SRC2,River channel,Sacramento River,1/14/2019,Terrestrial insect,9.307306614
2019,SRC4,River channel,Sacramento River,1/14/2019,Aquatic insect,8.084060601
2019,SRC4,River channel,Sacramento River,1/14/2019,Copepoda,280.9211059
2019,SRC4,River channel,Sacramento River,1/14/2019,Large cladocera,165.7232423
2019,SRC4,River channel,Sacramento River,1/14/2019,Ostracoda,6.063045451
2019,SRC4,River channel,Sacramento River,1/14/2019,Rare,10.10507575
2019,SRC4,River channel,Sacramento River,1/14/2019,Rotifera,56.58842421
2019,SRC4,River channel,Sacramento River,1/14/2019,Small cladocera,119.2398939
2019,SRC4,River channel,Sacramento River,1/14/2019,Terrestrial insect,2.02101515
2019,UBC1,Canal channel,Upper Bypass,1/14/2019,Aquatic insect,14.14710605
2019,UBC1,Canal channel,Upper Bypass,1/14/2019,Copepoda,844.1106611
2019,UBC1,Canal channel,Upper Bypass,1/14/2019,Large cladocera,466.8544997
2019,UBC1,Canal channel,Upper Bypass,1/14/2019,Ostracoda,9.431404035
2019,UBC1,Canal channel,Upper Bypass,1/14/2019,Rare,14.14710605
2019,UBC1,Canal channel,Upper Bypass,1/14/2019,Rotifera,75.45123228
2019,UBC1,Canal channel,Upper Bypass,1/14/2019,Small cladocera,712.0710046
2019,UBW1,Wetland,Upper Bypass,1/14/2019,Copepoda,433.2551229
2019,UBW1,Wetland,Upper Bypass,1/14/2019,Large cladocera,183.9123787
2019,UBW1,Wetland,Upper Bypass,1/14/2019,Rare,28.29421211
2019,UBW1,Wetland,Upper Bypass,1/14/2019,Rotifera,35.36776513
2019,UBW1,Wetland,Upper Bypass,1/14/2019,Small cladocera,633.0829959
2019,BSC1,Canal channel,Butte Sink,1/21/2019,Copepoda,1510.708825
2019,BSC1,Canal channel,Butte Sink,1/21/2019,Large cladocera,818.5111359
2019,BSC1,Canal channel,Butte Sink,1/21/2019,Ostracoda,40.42030301
2019,BSC1,Canal channel,Butte Sink,1/21/2019,Rare,30.31522726
2019,BSC1,Canal channel,Butte Sink,1/21/2019,Rotifera,131.3659848
2019,BSC1,Canal channel,Butte Sink,1/21/2019,Small cladocera,474.9385603
2019,FRC1,River channel,Feather River,1/21/2019,Aquatic insect,18.18913635
2019,FRC1,River channel,Feather River,1/21/2019,Copepoda,268.795015
2019,FRC1,River channel,Feather River,1/21/2019,Large cladocera,99.02974237
2019,FRC1,River channel,Feather River,1/21/2019,Ostracoda,2.02101515
2019,FRC1,River channel,Feather River,1/21/2019,Rare,2.02101515
2019,FRC1,River channel,Feather River,1/21/2019,Rotifera,99.02974237
2019,FRC1,River channel,Feather River,1/21/2019,Small cladocera,151.5761363
2019,FRC1,River channel,Feather River,1/21/2019,Terrestrial insect,4.042030301
2019,LBA2,Agriculture,Lower Bypass,1/21/2019,Aquatic insect,9.645754127
2019,LBA2,Agriculture,Lower Bypass,1/21/2019,Copepoda,234.7133504
2019,LBA2,Agriculture,Lower Bypass,1/21/2019,Large cladocera,102.888044
2019,LBA2,Agriculture,Lower Bypass,1/21/2019,Rare,6.430502751
2019,LBA2,Agriculture,Lower Bypass,1/21/2019,Rotifera,334.3861431
2019,LBA2,Agriculture,Lower Bypass,1/21/2019,Small cladocera,315.0946348
2019,SRC2,River channel,Sacramento River,1/21/2019,Aquatic insect,10.61032954
2019,SRC2,River channel,Sacramento River,1/21/2019,Copepoda,27.5868568
2019,SRC2,River channel,Sacramento River,1/21/2019,Large cladocera,4.951487118
2019,SRC2,River channel,Sacramento River,1/21/2019,Rare,8.488263632
2019,SRC2,River channel,Sacramento River,1/21/2019,Rotifera,33.24569922
2019,SRC2,River channel,Sacramento River,1/21/2019,Small cladocera,12.73239545
2019,SRC2,River channel,Sacramento River,1/21/2019,Terrestrial insect,1.414710605
2019,SRC4,River channel,Sacramento River,1/21/2019,Aquatic insect,11.31768484
2019,SRC4,River channel,Sacramento River,1/21/2019,Copepoda,253.2331983
2019,SRC4,River channel,Sacramento River,1/21/2019,Large cladocera,205.1330378
2019,SRC4,River channel,Sacramento River,1/21/2019,Ostracoda,1.414710605
2019,SRC4,River channel,Sacramento River,1/21/2019,Rare,4.244131816
2019,SRC4,River channel,Sacramento River,1/21/2019,Rotifera,42.44131816
2019,SRC4,River channel,Sacramento River,1/21/2019,Small cladocera,234.8419605
2019,SRC4,River channel,Sacramento River,1/21/2019,Terrestrial insect,2.829421211
2019,UBA1,Agriculture,Upper Bypass,1/21/2019,Aquatic insect,9.431404035
2019,UBA1,Agriculture,Upper Bypass,1/21/2019,Copepoda,905.4147874
2019,UBA1,Agriculture,Upper Bypass,1/21/2019,Large cladocera,518.7272219
2019,UBA1,Agriculture,Upper Bypass,1/21/2019,Ostracoda,4.715702018
2019,UBA1,Agriculture,Upper Bypass,1/21/2019,Rotifera,94.31404035
2019,UBA1,Agriculture,Upper Bypass,1/21/2019,Small cladocera,1612.77009
2019,UBC1,Canal channel,Upper Bypass,1/21/2019,Aquatic insect,17.68388257
2019,UBC1,Canal channel,Upper Bypass,1/21/2019,Copepoda,884.1941283
2019,UBC1,Canal channel,Upper Bypass,1/21/2019,Large cladocera,530.516477
2019,UBC1,Canal channel,Upper Bypass,1/21/2019,Ostracoda,5.894627522
2019,UBC1,Canal channel,Upper Bypass,1/21/2019,Rotifera,100.2086679
2019,UBC1,Canal channel,Upper Bypass,1/21/2019,Small cladocera,2004.173357
2019,UBC1,Canal channel,Upper Bypass,1/21/2019,Terrestrial insect,5.894627522
