"","Author","species","life_stage"
"1","Cordoleani","cladocera",NA
"2","Cordoleani","pulex",NA
"3","Corline","Bosmina","adult"
"4","Corline","chydorus","adult"
"5","Corline","Ceriodaphnia","adult"
"6","Corline","pulex","adult"
"7","Corline","laevis","adult"
"8","Corline","miona","adult"
"9","Corline","mixtus","adult"
"10","Corline","Sida","adult"
"11","Corline","Acanthocyclops","adult"
"12","Corline","Cyclopidae","adult"
"13","Corline","Cyclopidae","nauplii"
"14","Corline","cypridopsis","adult"
"15","Corline","Eucypris","adult"
"16","Corline","Eucypris","juvenile"
"17","Corline","ilyocypris","adult"
"18","Corline","Rotifera","adult"
"19","Corline","Acari","adult"
"20","Corline","chydorus","adult"
"21","Corline","Ceriodaphnia","adult"
"22","Corline","pulex","adult"
"23","Corline","laevis","adult"
"24","Corline","mixtus","adult"
"25","Corline","Daphniidae","embryo"
"26","Corline","Daphniidae","egg"
"27","Corline","Acanthocyclops","adult"
"28","Corline","Cyclopidae","adult"
"29","Corline","cypridopsis","adult"
"30","Corline","Eucypris","juvenile"
"31","Corline","Rotifera","adult"
"32","Corline","bosmina","adult"
"33","Corline","Chydorus","adult"
"34","Corline","Ceriodaphnia","adult"
"35","Corline","pulex","adult"
"36","Corline","laevis","adult"
"37","Corline","mixtus","adult"
"38","Corline","Acanthocyclops","adult"
"39","Corline","Cyclopidae","adult"
"40","Corline","cypridopsis","adult"
"41","Corline","Eucypris","adult"
"42","Corline","Eucypris","juvenile"
"43","Corline","Rotifera","adult"
"44","Corline","bosmina","adult"
"45","Corline","chydorus","adult"
"46","Corline","ceriodaphnia","adult"
"47","Corline","pulex","adult"
"48","Corline","laevis","adult"
"49","Corline","mixtus","adult"
"50","Corline","Daphniidae","embryo"
"51","Corline","Daphniidae","egg"
"52","Corline","Cyclopidae","adult"
"53","Corline","Cyclopidae","nauplii"
"54","Corline","cypridopsis","adult"
"55","Corline","Eucypris","adult"
"56","Corline","Eucypris","juvenile"
"57","Corline","Rotifera","adult"
"58","Corline","bosmina","adult"
"59","Corline","chydorus","adult"
"60","Corline","ceriodaphnia","adult"
"61","Corline","pulex","adult"
"62","Corline","acanthocyclops","adult"
"63","Corline","cyclopidae","adult"
"64","Corline","cyclopidae","nauplii"
"65","Corline","cypridopsis","adult"
"66","Corline","Eucypris","adult"
"67","Corline","Eucypris","juvenile"
"68","Corline","Rotifera","adult"
"69","Corline","bosmina","adult"
"70","Corline","chydorus","adult"
"71","Corline","ceriodaphnia","adult"
"72","Corline","pulex","adult"
"73","Corline","laevis","adult"
"74","Corline","mixtus","adult"
"75","Corline","Acanthocyclops","adult"
"76","Corline","Cyclopidae","adult"
"77","Corline","cypridopsis","adult"
"78","Corline","Eucypris","juvenile"
"79","Corline","ilyocypris","adult"
"80","Corline","Rotifera","adult"
"81","Corline","bosmina","adult"
"82","Corline","chydorus","adult"
"83","Corline","ceriodaphnia","adult"
"84","Corline","pulex","adult"
"85","Corline","laevis","adult"
"86","Corline","mixtus","adult"
"87","Corline","Calinoida","adult"
"88","Corline","acanthocyclops","adult"
"89","Corline","cyclopidae","adult"
"90","Corline","cyclopidae","adult"
"91","Corline","cyclopidae","nauplii"
"92","Corline","cypridopsis","adult"
"93","Corline","Eucypris","adult"
"94","Corline","Eucypris","juvenile"
"95","Corline","ilyocypris","adult"
"96","Corline","Rotifera","adult"
"97","Corline","bosmina","adult"
"98","Corline","chydorus","adult"
"99","Corline","ceriodaphnia","adult"
"100","Corline","pulex","adult"
"101","Corline","laevis","adult"
"102","Corline","mixtus","adult"
"103","Corline","acanthocyclops","adult"
"104","Corline","cyclopidae","adult"
"105","Corline","cyclopidae","adult"
"106","Corline","cyclopidae","nauplii"
"107","Corline","Eucypris","adult"
"108","Corline","Eucypris","juvenile"
"109","Corline","Rotifera","adult"
"110","Corline","bosmina","adult"
"111","Corline","chydorus","adult"
"112","Corline","ceriodaphnia","adult"
"113","Corline","pulex","adult"
"114","Corline","laevis","adult"
"115","Corline","mixtus","adult"
"116","Corline","acanthocyclops","adult"
"117","Corline","cyclopidae","adult"
"118","Corline","cyclopidae","adult"
"119","Corline","cyclopidae","nauplii"
"120","Corline","Eucypris","adult"
"121","Corline","Eucypris","juvenile"
"122","Corline","Rotifera","adult"
"123","Corline","bosmina","adult"
"124","Corline","chydorus","adult"
"125","Corline","ceriodaphnia","adult"
"126","Corline","pulex","adult"
"127","Corline","laevis","adult"
"128","Corline","mixtus","adult"
"129","Corline","Calinoida","adult"
"130","Corline","acanthocyclops","adult"
"131","Corline","cyclopidae","adult"
"132","Corline","cyclopidae","nauplii"
"133","Corline","Eucypris","adult"
"134","Corline","bosmina","adult"
"135","Corline","chydorus","adult"
"136","Corline","ceriodaphnia","adult"
"137","Corline","pulex","adult"
"138","Corline","laevis","adult"
"139","Corline","mixtus","adult"
"140","Corline","Calinoida","adult"
"141","Corline","acanthocyclops","adult"
"142","Corline","cyclopidae","adult"
"143","Corline","cyclopidae","nauplii"
"144","Corline","Eucypris","adult"
"145","Corline","Eucypris","juvenile"
"146","Corline","Rotifera","adult"
"147","Corline","bosmina","adult"
"148","Corline","chydorus","adult"
"149","Corline","ceriodaphnia","adult"
"150","Corline","pulex","adult"
"151","Corline","mixtus","adult"
"152","Corline","Sida","adult"
"153","Corline","Calinoida","adult"
"154","Corline","acanthocyclops","adult"
"155","Corline","cyclopidae","adult"
"156","Corline","cyclopidae","nauplii"
"157","Corline","Eucypris","adult"
"158","Corline","Eucypris","juvenile"
"159","Corline","Rotifera","adult"
"160","Corline","bosmina","adult"
"161","Corline","chydorus","adult"
"162","Corline","ceriodaphnia","adult"
"163","Corline","pulex","adult"
"164","Corline","laevis","adult"
"165","Corline","miona","adult"
"166","Corline","mixtus","adult"
"167","Corline","Calinoida","adult"
"168","Corline","acanthocyclops","adult"
