Location,RowID,Date,Time,Cage,PIT,FL,Wt,Photo,ID,Camera,Cohort,Specimen,Comment,Region,Report_type,Report_ID,lat,long
BCCER,918,03/02/20,1899-12-30 09:50:00,51,NA,NA,NA,3,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCCER,919,03/02/20,1899-12-30 09:50:00,51,NA,NA,NA,5,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCCER,920,03/02/20,1899-12-30 09:50:00,51,NA,NA,NA,6,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCCER,921,03/02/20,1899-12-30 09:50:00,51,NA,NA,NA,8,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCCER,922,03/02/20,1899-12-30 09:50:00,51,NA,NA,NA,9,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCCER,923,03/02/20,1899-12-30 09:50:00,51,NA,NA,NA,11,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCCER,924,03/02/20,1899-12-30 09:50:00,51,NA,NA,NA,13,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCCER,925,03/02/20,1899-12-30 09:50:00,51,NA,NA,NA,14,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCCER,926,03/02/20,1899-12-30 09:50:00,51,NA,NA,NA,15,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCCER,927,03/02/20,1899-12-30 09:50:00,51,NA,NA,NA,NA,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCCER,948,03/20/20,1899-12-30 11:55:00,23,3631,53,1.4,1040,BCCER3631_20200320,NA,PIT,YES,NA,NA,NA,NA,NA,NA
BCCER,949,03/20/20,1899-12-30 11:55:00,23,3660,56,1.99,1041,BCCER3660_20200320,NA,PIT,YES,NA,NA,NA,NA,NA,NA
BCCER,950,03/20/20,1899-12-30 11:55:00,23,4256,66,3.05,1042,BCCER4256_20200320,NA,PIT,YES,NA,NA,NA,NA,NA,NA
BCCER,951,03/20/20,1899-12-30 11:55:00,23,4176,57,1.72,1043,BCCER4176_20200320,NA,PIT,YES,NA,NA,NA,NA,NA,NA
BCCER,952,03/20/20,1899-12-30 11:55:00,51,4280,63,2.5,1045,BCCER4280_20200320,NA,PIT,YES,NA,NA,NA,NA,NA,NA
BCCER,953,03/20/20,1899-12-30 11:55:00,51,3848,62,2.57,1046,BCCER3848_20200320,NA,PIT,YES,NA,NA,NA,NA,NA,NA
BCCER,954,03/20/20,1899-12-30 11:55:00,51,3473,57,1.66,1047,BCCER3473_20200320,NA,PIT,YES,NA,NA,NA,NA,NA,NA
BCCER,955,03/20/20,1899-12-30 11:55:00,51,4013,57,1.97,1048,BCCER4013_20200320,NA,PIT,YES,NA,NA,NA,NA,NA,NA
BCCER,956,03/20/20,1899-12-30 11:55:00,51,3600,58,1.87,1049,BCCER3600_20200320,NA,PIT,YES,NA,NA,NA,NA,NA,NA
BCCER,314,02/17/20,1899-12-30 13:10:00,51,3848,54,1.8,277,BCCER3848_20200217,NA,PIT,NO,NA,NA,NA,NA,NA,NA
BCCER,311,02/17/20,1899-12-30 13:10:00,51,4280,59,2.15,271,BCCER4280_20200217,NA,PIT,NO,NA,NA,NA,NA,NA,NA
BCCER,312,02/17/20,1899-12-30 13:10:00,51,4013,54,1.7,272,BCCER4013_20200217,NA,PIT,NO,NA,NA,NA,NA,NA,NA
BCCER,313,02/17/20,1899-12-30 13:10:00,51,3473,54,1.77,275,BCCER3473_20200217,NA,PIT,NO,NA,NA,NA,NA,NA,NA
BCCER,318,02/17/20,1899-12-30 13:10:00,23,3660,50,1.3,286,BCCER3660_20200217,NA,PIT,NO,NA,NA,NA,NA,NA,NA
BCCER,315,02/17/20,1899-12-30 13:10:00,51,3600,56,1.67,280,BCCER3600_20200217,NA,PIT,NO,NA,NA,NA,NA,NA,NA
BCCER,316,02/17/20,1899-12-30 13:10:00,23,3540,47,0.88,281,BCCER3540_20200217,NA,PIT,NO,NA,NA,NA,NA,NA,NA
BCCER,317,02/17/20,1899-12-30 13:10:00,23,3631,51,1.29,285,BCCER3631_20200217,NA,PIT,NO,NA,NA,NA,NA,NA,NA
BCCER,319,02/17/20,1899-12-30 13:10:00,23,4256,59,2.35,287,BCCER4256_20200217,NA,PIT,NO,NA,NA,NA,NA,NA,NA
BCCER,320,02/17/20,1899-12-30 13:10:00,23,4167,53,1.52,290,BCCER4167_20200217,NA,PIT,NO,NA,NA,NA,NA,NA,NA
BCEP,310,02/17/20,1899-12-30 10:30:00,15,4319,50,1.2,268,BCEP4319_20200217,NA,PIT,NO,NA,NA,NA,NA,NA,NA
BCEP,928,03/02/20,1899-12-30 11:45:00,50,NA,NA,NA,16,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCEP,929,03/02/20,1899-12-30 11:45:00,50,NA,NA,NA,20,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCEP,930,03/02/20,1899-12-30 11:45:00,50,NA,NA,NA,21,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCEP,931,03/02/20,1899-12-30 11:45:00,50,NA,NA,NA,23,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCEP,932,03/02/20,1899-12-30 11:45:00,50,NA,NA,NA,25,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCEP,933,03/02/20,1899-12-30 11:45:00,15,NA,NA,NA,26,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCEP,934,03/02/20,1899-12-30 11:45:00,15,NA,NA,NA,27,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCEP,935,03/02/20,1899-12-30 11:45:00,15,NA,NA,NA,28,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCEP,936,03/02/20,1899-12-30 11:45:00,15,NA,NA,NA,30,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCEP,937,03/02/20,1899-12-30 11:45:00,15,NA,NA,NA,32,NA,NA,NA,NO,No fork length or Wt taken,NA,NA,NA,NA,NA
BCEP,938,03/20/20,1899-12-30 09:50:00,50,3556,67,3.25,1030,BCEP3556_20200320,NA,PIT,YES,NA,NA,NA,NA,NA,NA
BCEP,939,03/20/20,1899-12-30 09:50:00,50,3888,64,2.57,1031,BCEP3888_20200320,NA,PIT,YES,NA,NA,NA,NA,NA,NA
BCEP,940,03/20/20,1899-12-30 09:50:00,50,4343,59,2.14,1032,BCEP4343_20200320,NA,PIT,YES,NA,NA,NA,NA,NA,NA
BCEP,941,03/20/20,1899-12-30 09:50:00,50,3879,57,1.98,1033,BCEP3879_20200320,NA,PIT,YES,NA,NA,NA,NA,NA,NA
BCEP,942,03/20/20,1899-12-30 09:50:00,50,3934,58,1.98,1034,BCEP3934_20200320,NA,PIT,YES,NA,NA,NA,NA,NA,NA
