author,lat,lon,habitat_type
Cordoleani,39.3607,-121.8936,agricultural canal
Cordoleani,38.7936,-121.6305,agricultural canal
Cordoleani,NA,NA,agricultural canal
Cordoleani,39.0202,-121.8209,agricultural canal
Cordoleani,38.6754,-121.6298,agricultural canal
Cordoleani,39.19,-121.9092,agricultural canal
Cordoleani,39.0988,-121.7609,floodplain
Cordoleani,39.1277,-121.8147,agricultural canal
Cordoleani,39.1445,-121.8422,agricultural canal
Cordoleani,39.3481,-121.8901,floodplain
Cordoleani,39.2094,-121.9877,agricultural canal
Cordoleani,39.1946,-121.9387,agricultural canal
Cordoleani,38.8054,-121.7237,agricultural canal
Cordoleani,39.2858,-121.9246,floodplain
Cordoleani,38.918,-121.6265,agricultural canal
Cordoleani,38.9026,-121.6242,floodplain
Cordoleani,38.9018,-121.6199,agricultural canal
Cordoleani,38.7859,-121.6533,agricultural canal
Cordoleani,39.1027,-121.7592,agricultural canal
Cordoleani,39.235,-121.947,agricultural canal
Cordoleani,39.2398,-121.948,agricultural canal
Zeug,NA,NA,perennial instream
Zeug,36.860461,-119.847043,perennial instream
Zeug,36.798219,-120.16085,perennial instream
Zeug,37.166257,-120.619793,side channel
Zeug,37.166817,-120.631145,perennial instream
Montgomery,NA,NA,NA
Montgomery,38.94108,-121.63439,agricultural canal
Montgomery,38.77818,-121.60199,perennial instream
Montgomery,38.85624,-121.786175,agricultural canal
Montgomery,38.77412,-121.5984,perennial instream
Montgomery,38.76663,-121.59364,perennial instream
Montgomery,38.862152,-121.793035,agricultural canal
Montgomery,38.94532,-121.63416,rice field
Montgomery,38.9382,-121.60714,rice field
Montgomery,38.7016,-121.67063,agricultural canal
Montgomery,38.70057,-121.66936,floodplain
Montgomery,38.94821,-121.634486,agricultural canal
Montgomery,38.7034,-121.6697,floodplain
Montgomery,38.7041,-121.66971,floodplain
Montgomery,38.70202,-121.66954,floodplain
Montgomery,38.6985,-121.66914,floodplain
Montgomery,38.6992,-121.66923,floodplain
Montgomery,38.95575,-121.58389,perennial instream
Montgomery,38.83211,-121.74011,rice field
Montgomery,38.7817,-121.60776,perennial instream
Montgomery,38.840656,-121.728323,perennial instream
Montgomery,39.132719,-121.938321,perennial instream
Montgomery,38.8024,-121.71673,perennial instream
Montgomery,38.863128,-121.79321,perennial instream
Montgomery,38.7027,-121.66959,floodplain
Montgomery,38.863506,-121.786417,perennial instream
Montgomery,38.78183,-121.60432,perennial instream
Montgomery,38.866534,-121.79567,perennial instream
Montgomery,38.77108,-121.68924,perennial instream
Montgomery,38.858198,-121.784856,perennial instream
Montgomery,38.78444,-121.65314,perennial instream
Montgomery,38.940203,-121.64406,perennial instream
Montgomery,38.70131,-121.66945,floodplain
Montgomery,38.86281,-121.792717,perennial instream
Montgomery,38.8014,-121.72348,perennial instream
Montgomery,38.69989,-121.6693,floodplain
Montgomery,38.80177,-121.72133,perennial instream
Montgomery,38.78519,-121.654258,perennial instream
Montgomery,38.862775,-121.792543,perennial instream
Montgomery,39.143928,-121.974314,rice field
Montgomery,38.799399,-121.72528,agricultural canal
Montgomery,38.856665,-121.785262,perennial instream
Guignard,37.799336,-120.725381,perennial instream
Guignard,37.799472,-120.726306,side channel
Guignard,37.79741,-120.72735,side channel
Guignard,37.79743,-120.72719,floodplain
Guignard,37.79816,-120.726875,floodplain
Guignard,37.79894,-120.7265,floodplain
Corline,38.70151,-121.66996,floodplain
Corline,38.52353,-121.5384,perennial instream
Corline,38.70511,-121.67041,agricultural canal
zooper: FMWT,38.33428,-121.64733,floodplain
zooper: FMWT,38.40462,-121.6156,floodplain
zooper: FMWT,38.47387,-121.5844,floodplain
zooper: FMWT,38.5377,-121.58468,floodplain
zooper: FRP,38.32666076,-121.68302919999999,floodplain
zooper: FRP,38.31306549,-121.6671414,floodplain
zooper: FRP,38.29183335,-121.6732488,floodplain
zooper: FRP,38.29307247,-121.6861237,floodplain
zooper: FRP,38.33389898,-121.6739171,floodplain
zooper: FRP,38.3098208,-121.6928649,floodplain
zooper: FRP,38.29617,-121.68986,floodplain
zooper: FRP,38.35634969,-121.6418877,floodplain
zooper: FRP,38.34445786,-121.6554718,floodplain
zooper: STN,38.5377,-121.58468,floodplain
zooper: STN,38.33428,-121.64733,floodplain
zooper: STN,38.47387,-121.5844,floodplain
zooper: STN,38.40462,-121.6156,floodplain
zooper: 20mm,38.3335,-121.64750000000001,floodplain
zooper: EMP,38.084722222222226,-121.73805555555556,perennial instream
zooper: EMP,38.06444444444444,-121.82888888888888,perennial instream
zooper: EMP,38.10861111111111,-121.71444444444445,perennial instream
zooper: EMP,38.34777777777778,-121.54027777777777,perennial instream
zooper: EMP,38.0642,-121.8227,perennial instream
zooper: EMP,38.14805555555556,-121.68361111111112,perennial instream
zooper: EMP,38.060079,-121.80036,perennial instream
zooper: EMP,38.0628,-121.7917,perennial instream
zooper: EMP,38.06166666666666,-121.7961111111111,perennial instream
zooper: EMP,38.1017,-121.7225,perennial instream
zooper: EMP,38.1387,-121.6924,perennial instream
zooper: EMP,38.065,-121.8375,perennial instream
zooper: EMP,38.0678,-121.7822,perennial instream
zooper: EMP,38.1045,-121.7206,perennial instream
zooper: EMP,38.0663,-121.7855,perennial instream
zooper: EMP,38.0603,-121.8048,perennial instream
zooper: EMP,38.06985,-121.78013,perennial instream
zooper: EMP,38.0674,-121.7842,perennial instream
zooper: EMP,38.07368,-121.773799,perennial instream
zooper: EMP,38.0608,-121.7982,perennial instream
zooper: EMP,38.077759,-121.76523,perennial instream
zooper: EMP,38.1607,-121.683,perennial instream
zooper: EMP,38.0711,-121.7781,perennial instream
zooper: EMP,38.0612,-121.8128,perennial instream
zooper: EMP,38.1381,-121.6937,perennial instream
zooper: EMP,38.0631,-121.7933,perennial instream
zooper: EMP,38.0913,-121.7384,perennial instream
zooper: EMP,38.1279,-121.6965,perennial instream
zooper: EMP,38.0688,-121.7815,perennial instream
