"fish_id","cage_id","Region","Type","Date","mass","mass_interp","mass_fill"
3953,"SBFR","Upper Bypass","Agriculture",2019-02-19,NA,1.154334966,1.154334966
3953,"SBFR","Upper Bypass","Agriculture",2019-02-20,NA,1.154334966,1.154334966
3953,"SBFR","Upper Bypass","Agriculture",2019-02-21,1.154334966,1.154334966,1.154334966
3953,"SBFR","Upper Bypass","Agriculture",2019-02-22,NA,1.18819430623077,1.154334966
3953,"SBFR","Upper Bypass","Agriculture",2019-02-23,NA,1.22205364646154,1.154334966
3953,"SBFR","Upper Bypass","Agriculture",2019-02-24,NA,1.25591298669231,1.154334966
3953,"SBFR","Upper Bypass","Agriculture",2019-02-25,NA,1.28977232692308,1.154334966
3953,"SBFR","Upper Bypass","Agriculture",2019-02-26,NA,1.32363166715385,1.154334966
3953,"SBFR","Upper Bypass","Agriculture",2019-02-27,NA,1.35749100738462,1.154334966
3953,"SBFR","Upper Bypass","Agriculture",2019-02-28,NA,1.39135034761538,1.154334966
3953,"SBFR","Upper Bypass","Agriculture",2019-03-01,NA,1.42520968784615,1.154334966
3953,"SBFR","Upper Bypass","Agriculture",2019-03-02,NA,1.45906902807692,1.154334966
3953,"SBFR","Upper Bypass","Agriculture",2019-03-03,NA,1.49292836830769,1.154334966
3953,"SBFR","Upper Bypass","Agriculture",2019-03-04,NA,1.52678770853846,1.154334966
3953,"SBFR","Upper Bypass","Agriculture",2019-03-05,NA,1.56064704876923,1.154334966
3953,"SBFR","Upper Bypass","Agriculture",2019-03-06,1.594506389,1.594506389,1.594506389
3953,"SBFR","Upper Bypass","Agriculture",2019-03-07,NA,1.67823217453333,1.594506389
3953,"SBFR","Upper Bypass","Agriculture",2019-03-08,NA,1.76195796006667,1.594506389
3953,"SBFR","Upper Bypass","Agriculture",2019-03-09,NA,1.8456837456,1.594506389
3953,"SBFR","Upper Bypass","Agriculture",2019-03-10,NA,1.92940953113333,1.594506389
3953,"SBFR","Upper Bypass","Agriculture",2019-03-11,NA,2.01313531666667,1.594506389
3953,"SBFR","Upper Bypass","Agriculture",2019-03-12,NA,2.0968611022,1.594506389
3953,"SBFR","Upper Bypass","Agriculture",2019-03-13,NA,2.18058688773333,1.594506389
3953,"SBFR","Upper Bypass","Agriculture",2019-03-14,NA,2.26431267326667,1.594506389
3953,"SBFR","Upper Bypass","Agriculture",2019-03-15,NA,2.3480384588,1.594506389
3953,"SBFR","Upper Bypass","Agriculture",2019-03-16,NA,2.43176424433333,1.594506389
3953,"SBFR","Upper Bypass","Agriculture",2019-03-17,NA,2.51549002986667,1.594506389
3953,"SBFR","Upper Bypass","Agriculture",2019-03-18,NA,2.5992158154,1.594506389
3953,"SBFR","Upper Bypass","Agriculture",2019-03-19,NA,2.68294160093333,1.594506389
3953,"SBFR","Upper Bypass","Agriculture",2019-03-20,NA,2.76666738646667,1.594506389
3953,"SBFR","Upper Bypass","Agriculture",2019-03-21,2.850393172,2.850393172,2.850393172
3953,"SBFR","Upper Bypass","Agriculture",2019-03-22,NA,2.95907575961538,2.850393172
3953,"SBFR","Upper Bypass","Agriculture",2019-03-23,NA,3.06775834723077,2.850393172
3953,"SBFR","Upper Bypass","Agriculture",2019-03-24,NA,3.17644093484615,2.850393172
3953,"SBFR","Upper Bypass","Agriculture",2019-03-25,NA,3.28512352246154,2.850393172
3953,"SBFR","Upper Bypass","Agriculture",2019-03-26,NA,3.39380611007692,2.850393172
3953,"SBFR","Upper Bypass","Agriculture",2019-03-27,NA,3.50248869769231,2.850393172
3953,"SBFR","Upper Bypass","Agriculture",2019-03-28,NA,3.61117128530769,2.850393172
3953,"SBFR","Upper Bypass","Agriculture",2019-03-29,NA,3.71985387292308,2.850393172
3953,"SBFR","Upper Bypass","Agriculture",2019-03-30,NA,3.82853646053846,2.850393172
3953,"SBFR","Upper Bypass","Agriculture",2019-03-31,NA,3.93721904815385,2.850393172
3953,"SBFR","Upper Bypass","Agriculture",2019-04-01,NA,4.04590163576923,2.850393172
3953,"SBFR","Upper Bypass","Agriculture",2019-04-02,NA,4.15458422338462,2.850393172
3953,"SBFR","Upper Bypass","Agriculture",2019-04-03,4.263266811,4.263266811,4.263266811
3954,"BSMR","Butte Sink","Wetland",2019-02-19,NA,0.78343733,0.78343733
3954,"BSMR","Butte Sink","Wetland",2019-02-20,0.78343733,0.78343733,0.78343733
3954,"BSMR","Butte Sink","Wetland",2019-02-21,NA,0.78343733,0.78343733
3954,"BSMR","Butte Sink","Wetland",2019-02-22,NA,0.78343733,0.78343733
3954,"BSMR","Butte Sink","Wetland",2019-02-23,NA,0.78343733,0.78343733
3954,"BSMR","Butte Sink","Wetland",2019-02-24,NA,0.78343733,0.78343733
3954,"BSMR","Butte Sink","Wetland",2019-02-25,NA,0.78343733,0.78343733
3954,"BSMR","Butte Sink","Wetland",2019-02-26,NA,0.78343733,0.78343733
3954,"BSMR","Butte Sink","Wetland",2019-02-27,NA,0.78343733,0.78343733
3954,"BSMR","Butte Sink","Wetland",2019-02-28,NA,0.78343733,0.78343733
3954,"BSMR","Butte Sink","Wetland",2019-03-01,NA,0.78343733,0.78343733
3954,"BSMR","Butte Sink","Wetland",2019-03-02,NA,0.78343733,0.78343733
3954,"BSMR","Butte Sink","Wetland",2019-03-03,NA,0.78343733,0.78343733
